"word_id","ref_id","setting_id","translate"
22067,3,1,"introdução"
42118,3,1,"trigonometria"
31797,3,1,"grávida"
28104,3,1,"ultrapassado"
7571,3,1,"giz"
29913,3,1,"caneta"
38936,3,1,"padrasto"
11835,3,1,"escrivaninha"
7004,3,1,"carro"
15125,3,1,"experiência"
24352,3,1,"perder"
188690,3,1,"internato"
16514,3,1,"voar"
40876,3,1,"o"
18264,3,1,"avô"
18245,3,1,"gramática"
23499,3,1,"colocar"
25423,3,1,"memória"
5784,3,1,"livraria"
27362,3,1,"barulhento"
12283,3,1,"diploma"
39368,3,1,"estudante"
4716,3,1,"tornar"
19093,3,1,"lebre"
29076,3,1,"dor"
41658,3,1,"tartaruga"
38315,3,1,"gastar"
10740,3,1,"bonitinho"
39265,3,1,"rua"
7581,3,1,"camaleão"
34376,3,1,"descanso"
24575,3,1,"lince"
38142,3,1,"porca"
25866,3,1,"menos"
6490,3,1,"queimadura"
20727,3,1,"imunidade"
13701,3,1,"ansioso"
41380,3,1,"cansado"
7869,3,1,"tâmia"
28096,3,1,"velho"
40046,3,1,"nadar"
13054,3,1,"burro"
288029,3,1,"sapateiro"
5089,3,1,"oferecer"
36569,3,1,"estabelecer"
5037955,3,1,"epidemia"
10077,3,1,"país"
15846,3,1,"poucos"
30934,3,1,"prato"
41140,3,1,"através"
22614,3,1,"jornada"
24389,3,1,"amor"
24369,3,1,"alto"
35389,3,1,"mesmo"
15417,3,1,"fiel"
6817,3,1,"camelo"
35770,3,1,"ciência"
8180,3,1,"reivindincar"
33713,3,1,"vermelho"
23715,3,1,"deixar"
5296,3,1,"preto"
41862,3,1,"bonde"
15576,3,1,"gordo"
26575,3,1,"multiplicando"
26578,3,1,"multiplicar"
37084,3,1,"doença"
4642,3,1,"ser/estar"
230,3,1,"boxer"
34632,3,1,"montar"
16014,3,1,"encontrar"
38828,3,1,"estatísticas"
10467,3,1,"lotado"
47497,3,1,"motocicleta"
27950,3,1,"bizarro"
18564,3,1,"crescer"
11095,3,1,"morte"
9959,3,1,"custar"
12116,3,1,"morrer"
36339,3,1,"vender"
7281,3,1,"pegar"
19992,3,1,"esperança"
10681,3,1,"moeda"
4803,3,1,"começar"
19833,3,1,"segurar"
10560,3,1,"cúbico"
25255,3,1,"significar"
13065,3,1,"porta"
19769,3,1,"bater"
44671,3,1,"morno"
38928,3,1,"pisar"
19627,3,1,"esconder"
18163,3,1,"deslumbrante"
36989,3,1,"mostrar"
60,3,1,"um"
1695774,3,1,"péssimo"
8750043,3,1,"molhado"
23402,3,1,"durar"
17860,3,1,"dar"
