"word_id","ref_id","setting_id","translate"
274560,3,1,"página da web"
475682,3,1,"doador de sangue"
126250,3,1,"tolerante a erros"
21186,3,1,"de fato, realmente"
14074,3,2,"outro, mais, diferente"
17087,3,2,"a partir de"
474234,3,1,"sapatilha de ponto"
123645,3,1,"cinto de segurança"
20565,3,2,"no caso de"
21748,3,2,"em vez disso"
1042374,3,1,"ir de avião"
44758,3,2,"relógio de pulso"
475363,3,1,"porta do meio"
475257,3,1,"acomodação de passageiros"
475274,3,1,"a última fileira"
15505,3,3,"distante, longe, afastado"
475347,3,1,"conectores de fone"
62467,3,2,"imerso, focado, aprofundado"
25854,3,1,"pele de marta"
27571,3,2,"nada, coisa alguma"
43591,3,2,"até, até que"
118131,3,1,"bandeja de mesa"
448322,3,1,"Ficar de olho"
45524,3,2,"sabio, prudente, sensato"
474242,3,1,"guarnições de renda"
1042385,3,1,"reclinar em cima"
37985,3,1,"em algum lugar"
474228,3,1,"grânulos de vidro"
23137,3,2,"falta, carência, precisão"
436143,3,1,"tênis de corrida"
305516,3,1,"assento na janela"
22462,3,1,"por em perigo"
475304,3,1,"iluminação de emergência"
4908,3,1,"por baixo de"
1042373,3,1,"embarcar num avião"
475385,3,1,"pessoa comercialmente importante"
1042372,3,1,"embarcar num avião"
43269,3,1,"a menos que"
1042386,3,1,"bolsa do assento"
46575,3,1,"tecido de seda"
313820,3,1,"bagagem de mão"
39746,3,1,"soberbo, esplêndido, magnífico"
481032,3,1,"passagem de avião"
200608,3,1,"casaco de pele"
474188,3,1,"roupa para cooper"
481056,3,1,"conector de fone"
481026,3,1,"janela da cabine"
28927,3,1,"excesso de peso"
52535,3,1,"ramos, galhos, filiais"
1042381,3,1,"ponte de passageiros"
481040,3,1,"cadeira de passageiros"
1042383,3,1,"escadas de passageiros"
1042382,3,1,"escadas de passageiros"
6202112,3,1,"seleção de canal"
475841,3,1,"galo-silvestre preto"
23560,3,3,"aprender, informar-se"
6751,3,1,"tecido de algodão"
54268,3,1,"apentando, sacudindo, tremendo"
474239,3,1,"gancho de trava"
29549,3,1,"escada de passageiros"
252978,3,1,"cartão de embarque"
232796,3,1,"galo de turquia"
5014,3,1,"lembrar-se de"
23577,3,1,"imitação de couro"
481045,3,1,"encosto do banco"
474240,3,1,"bolso de remendo"
209819,3,1,"chegou às manchetes"
16839,3,2,"adiante, para frente"
475275,3,1,"a penúltima fileira"
174013,3,1,"cartão de embarque"
27620,3,1,"em nenhum lugar"
475263,3,1,"distribuição de lugares"
30833,3,3,"piedade, pena, compaixão"
475349,3,1,"chamada de cancelamento"
481024,3,1,"bolso de trás"
935911,3,1,"rampa de passageiros"
474219,3,1,"estofamento de poliéster"
1042375,3,1,"ponte de embarque"
18220,3,1,"pouco a pouco"
481039,3,1,"cabina de passageiros"
44758,3,3,"observar, assistir, olhar"
2911,3,2,"raiva, ira, ódio"
41721,3,1,"em direção a"
475696,3,1,"resultado de exames"
474567,3,1,"repórter por atribuição"
28995,3,1,"Ritmo, passo, andamento"
31404,3,1,"carne de porco"
475827,3,1,"unidade de cauda"
475200,3,1,"jornalista de moda"
475698,3,1,"horário de visitas"
23486,3,2,"tecido de algodão"
475830,3,1,"garça de noite"
41534,3,1,"hoje à noite"
174460,3,1,"ter atenção, cuidado"
475121,3,1,"nicho de jornal"
33368,3,2,"ao invés de"
39564,3,1,"ser bem sucedido"
22614,3,2,"jornada,viagem,viagem por terra"
6816,3,3,"chegar, vir, ir"
40968,3,2,"estes ou estas"
15409,3,1,"bastante, relativamente, razoavelmente"
191006,3,1,"olhar para trás"
329181,3,1,"coruja de celeiro"
132647,3,1,"tordo-dos-remédios"
35762,3,1,"sala de aula"
40863,3,3,"que, do que"
36821,3,1,"Alterar, substituir; mudança"
197724,3,1,"a cada minuto"
481812,3,1,"sala de cirurgia"
230870,3,1,"andar por aí"
28046,3,2,"frequentemente, muitas vezes"
475690,3,1,"resultados de laboratório"
180376,3,1,"levar de volta"
481011,3,1,"dia da votação"
935846,3,1,"buscar uma política"
28167,3,2,"há muito tempo"
42920,3,3,"de baixo, entre"
22826,3,2,"chave / tecla"
169596,3,1,"galo preto "
481012,3,1,"distrito de apuração"
47546,3,1,"âmago da questão"
475724,3,1,"azul de metileno"
566832,3,1,"Nós nos conhecemos?"
3817,3,1,"estar presente, comparecer"
174798,3,1,"passar tempo juntos"
14869,3,2,"tudo, cada coisa"
474210,3,1,"crepe de Chine"
6287,3,1,"café da manhã"
38779,3,1,"olhar fixo, mirar"
24372,3,1,"em voz alta"
475705,3,1,"metais alcalino-terrosos"
37627,3,2,"pequeno, pouco importante"
475700,3,1,"anidrido de ácido"
475741,3,1,"pressão de vapor"
173560,3,1,"terminar um relacionamento"
51331,3,2,"vê,por em vista,mira"
41044,3,1,"cuidadosa, minucioso, completo"
22689,3,2,"selva, floresta, mata"
44581,3,2,"acordar, despertar; Rastro"
13699,3,2,"cada, cada um"
45548,3,3,"em frente de"
4968,3,1,"ao meu lado"
41699,3,2,"difícil, resistente, duro"
24088,3,3,"pouco, pequena quantidade"
37980,3,3,"algo, alguma coisa"
18178,3,3,"passado de get"
52860,3,2,"maior, maiores, melhor"
39324,3,1,"lutar, empenhar-se"
24389,3,3,"eu te amo"
23569,3,2,"minimo, menos, pouco"
45970,3,2,"você mesmo,si mesmo"
39361,3,2,"preso, emperrados, congelados"
2334,3,1,"ajudar, auxiliar, assistir"
16542648,3,1,"Trabalhar com energia"
17087,3,3,"de, do, da"
39346,3,2,"batalha, luta, combate"
25266,3,1,"Enquanto isso, entretanto"
5058221,3,1,"Causar um rebuliço"
44980,3,2,"cerimônia de casamento"
24283,3,2,"mais, mais tempo"
39834,3,1,"abastecer, suprir, fornecer"
12780,3,1,"aflição, angústia, pesar"
31000,3,2,"prazer, delícia, deleite"
5641940,3,1,"Você quer dançar?"
1855,3,1,"conquista, façanha, realização"
35278,3,2,"disse, dito, saída"
14075,3,2,"em outro lugar"
36605,3,2,"Muitos, vários, diversos"
6190,3,2,"trazer, levar consigo"
39578,3,2,"como, tão, tal"
13561,3,1,"idiota, estúpido, imbecil"
2648,3,2,"já, tudo certo"
18688226,3,1,"Manter-se informado"
24478,3,1,"canção de ninar"
45762,3,3,"passado de Will"
45212,3,1,"seja qual for"
119062,3,1,"vendedor de jornais"
35389,3,2,"mesma / mesmo"
41685,3,2,"tocar, mexer, contato"
34922,3,2,"ergueu, elevou, levantou"
10335,3,1,"turma, grupo, tripulação"
4010,3,2,"ciente, consciente, alerta"
137606,3,1,"mesa de trabalho"
45418,3,2,"ventro / sopro"
474660,3,1,"homem da capa"
3683,3,2,"missão / tarefa"
62551,3,1,"gorjeiou, falar baixo"
10581,3,1,"sugestão, deixa, sinal"
45356,3,2,"largo, amplo, extenso"
2667,3,2,"APESAR DE, EMBORA"
27149,3,1,"edição das notícias"
1698,3,2,"absolutamente, com certeza"
38237,3,2,"Fala, Falando, Falar"
38718,3,1,"passado, seco, velho"
474766,3,1,"liberdade de imprensa"
40074,3,1,"mudar, trocar, interruptor"
61081,3,1,"declaração, depoimento, argumentação"
18452,3,1,"dor, tristeza, aflição"
31216,3,1,"política (maneira, modo)"
43615,3,1,"incomum, estranho, esquisito"
474547,3,1,"onda de rádio"
129564,3,1,"copa de árvores"
45198,3,2,"em que lugar"
21137,3,1,"cada vez mais"
11484857,3,1,"Você está fantástica!"
33473,3,2,"ler  leia"
