,bigram,freq
64696,"('oh_ADJ', 'oh_ADJ')",37
64701,"('bad_ADJ', 'romance_NOUN')",28
20692,"('“I_ADJ', '’m_NOUN')",27
2577,"('mister_NOUN', 'Darcy_NOUN')",27
1701,"('young_ADJ', 'lady_NOUN')",24
156,"('prison_NOUN', 'break_NOUN')",23
1376,"('mister_NOUN', 'Bingley_NOUN')",19
9,"('first_ADJ', 'time_NOUN')",19
12972,"('mister_NOUN', 'Collins_NOUN')",18
22681,"('deep_ADJ', 'breath_NOUN')",18
157,"('break_NOUN', 'anthem_NOUN')",18
817,"('young_ADJ', 'man_NOUN')",18
14706,"('mister_NOUN', 'Wickham_NOUN')",16
64698,"('oooh_ADJ', 'oh_ADJ')",15
64697,"('oh_ADJ', 'oooh_ADJ')",15
158,"('anthem_NOUN', 'prison_NOUN')",14
4315,"('last_ADJ', 'night_NOUN')",13
64708,"('ah_ADJ', 'ah_ADJ')",12
36585,"('operating_ADJ', 'system_NOUN')",11
2090,"('mrs_NOUN', 'Bennet_NOUN')",11
14727,"('little_ADJ', 'bit_NOUN')",10
20846,"('long_ADJ', 'moment_NOUN')",10
23112,"('long_ADJ', 'time_NOUN')",10
242,"('break_NOUN', 'anthey_NOUN')",10
64699,"('oh_ADJ', 'oh_NOUN')",9
2498,"('mrs_NOUN', 'Hurst_ADJ')",9
36550,"('operat_ADJ', 'system_NOUN')",8
39134,"('main_ADJ', 'article_NOUN')",8
2354,"('friend_NOUN', 'mister_NOUN')",8
20849,"('last_ADJ', 'time_NOUN')",8
12500,"('mister_NOUN', 'Collin_NOUN')",8
16031,"('best_ADJ', 'friend_NOUN')",8
399,"('else_ADJ', 'matter_NOUN')",7
10787,"('next_ADJ', 'day_NOUN')",7
1484,"('mister_NOUN', 'Bennet_NOUN')",7
26414,"('good_ADJ', 'thing_NOUN')",7
30285,"('year_NOUN', 'old_ADJ')",7
5080,"('great_ADJ', 'deal_NOUN')",7
398,"('nothing_NOUN', 'else_ADJ')",6
64730,"('love_NOUN', 'love_NOUN')",6
25838,"('golden_ADJ', 'eyes_NOUN')",6
22739,"('’t_ADJ', 'think_NOUN')",6
20359,"('“I_ADJ', 'think_NOUN')",6
64707,"('rah_ADJ', 'ah_ADJ')",6
64709,"('ah_ADJ', 'ah_NOUN')",6
4961,"('half_ADJ', 'hour_NOUN')",6
64700,"('oh_NOUN', 'catch_NOUN')",6
39481,"('new_ADJ', 'feature_NOUN')",6
