,bigram,freq
9639,"('last_ADJ', 'night_NOUN')",24
8942,"('rain_ADJ', 'rain_NOUN')",23
27654,"('living_ADJ', 'room_NOUN')",20
70352,"('mrs_NOUN', 'Theobald_NOUN')",18
3050,"('young_ADJ', 'man_NOUN')",17
16819,"('first_ADJ', 'time_NOUN')",17
16914,"('artificial_ADJ', 'person_NOUN')",17
10576,"('long_ADJ', 'time_NOUN')",16
39634,"('dead_ADJ', 'man_NOUN')",15
53365,"('cold_ADJ', 'voice_NOUN')",14
92832,"('good_ADJ', 'giant_NOUN')",14
68093,"('public_ADJ', 'domain_NOUN')",13
37902,"('Inspector_ADJ', 'MacDonald_NOUN')",12
42306,"('good_ADJ', 'deal_NOUN')",12
35360,"('“I_ADJ', '’m_NOUN')",11
62551,"('mister_NOUN', 'Robert_NOUN')",11
5913,"('next_ADJ', 'day_NOUN')",10
93753,"('bad_ADJ', 'giant_NOUN')",10
93615,"('little_ADJ', 'Ones_NOUN')",10
40951,"('mister_NOUN', 'Douglas_NOUN')",10
16101,"('old_ADJ', 'man_NOUN')",10
4290,"('jolt_NOUN', 'jiggelty_ADJ')",10
4291,"('jiggelty_ADJ', 'jolt_NOUN')",10
70831,"('Miss_ADJ', 'Abbott_NOUN')",10
4663,"('next_ADJ', 'morning_NOUN')",9
5087,"('little_ADJ', 'brother_NOUN')",9
4787,"('little_ADJ', 'girl_NOUN')",9
38180,"('mister_NOUN', 'Dougla_NOUN')",9
9742,"('credit_NOUN', 'card_NOUN')",9
70777,"('mrs_NOUN', 'Herriton_NOUN')",8
39642,"('white_ADJ', 'Mason_NOUN')",8
43077,"('anything_NOUN', 'else_ADJ')",8
4294,"('little_ADJ', 'farther_NOUN')",8
43758,"('mrs_NOUN', 'Douglas_NOUN')",8
40346,"('mrs_NOUN', 'Dougla_NOUN')",8
6654,"('right_ADJ', 'hand_NOUN')",8
13103,"('living_ADJ', 'artifact_NOUN')",8
58277,"('mister_NOUN', 'Weasley_NOUN')",8
21366,"('young_ADJ', 'lady_NOUN')",7
1198,"('violet_NOUN', 'moon_NOUN')",7
407,"('audience_NOUN', 'share_NOUN')",7
6961,"('old_ADJ', 'friend_NOUN')",7
5775,"('little_ADJ', 'black_NOUN')",7
43852,"('long_ADJ', 'way_NOUN')",7
18318,"('last_ADJ', 'time_NOUN')",7
43621,"('dining_NOUN', 'room_NOUN')",7
53300,"('second_ADJ', 'voice_NOUN')",7
23998,"('little_ADJ', 'way_NOUN')",7
56683,"('mrs_NOUN', 'Weasley_NOUN')",7
39626,"('whole_ADJ', 'thing_NOUN')",7
28401,"('whole_ADJ', 'world_NOUN')",7
80302,"('post_NOUN', 'card_NOUN')",6
53166,"('walking_NOUN', 'stick_NOUN')",6
27285,"('front_ADJ', 'door_NOUN')",6
73722,"('social_ADJ', 'position_NOUN')",6
18776,"('first_ADJ', 'thing_NOUN')",6
29555,"('thy_ADJ', 'self_NOUN')",6
43677,"('old_ADJ', 'house_NOUN')",6
52459,"('Riddle_ADJ', 'house_NOUN')",6
49627,"('last_ADJ', 'year_NOUN')",6
93282,"('little_ADJ', 'One_NOUN')",6
41051,"('common_ADJ', 'sense_NOUN')",6
13471,"('many_ADJ', 'people_NOUN')",6
2510,"('best_ADJ', 'friend_NOUN')",6
40287,"('beautiful_ADJ', 'woman_NOUN')",6
61536,"('second_ADJ', 'time_NOUN')",6
41484,"('many_ADJ', 'time_NOUN')",6
24495,"('way_NOUN', 'home_NOUN')",6
17644,"('many_ADJ', 'year_NOUN')",5
64734,"('last_ADJ', 'week_NOUN')",5
38358,"('mister_NOUN', 'Mac_NOUN')",5
59204,"('next_ADJ', 'moment_NOUN')",5
37279,"('large_ADJ', 'book_NOUN')",5
155,"('percent_ADJ', 'share_NOUN')",5
41544,"('left_ADJ', 'hand_NOUN')",5
10903,"('new_ADJ', 'Zealand_NOUN')",5
41314,"('mister_NOUN', 'Barker_NOUN')",5
72698,"('Italian_ADJ', 'nobility_NOUN')",5
73568,"('miss_ADJ', 'Abbott_NOUN')",5
33765,"('Killing_ADJ', 'floor_NOUN')",5
66072,"('never_ADJ', 'mind_NOUN')",5
76449,"('solitary_ADJ', 'walk_NOUN')",5
7056,"('good_ADJ', 'bye_NOUN')",5
2144,"('year_NOUN', 'old_ADJ')",5
2314,"('short_ADJ', 'time_NOUN')",5
49046,"('little_ADJ', 'town_NOUN')",5
3082,"('little_ADJ', 'boy_NOUN')",5
62618,"('mister_NOUN', 'Roberts_NOUN')",5
3726,"('great_ADJ', 'deal_NOUN')",5
2583,"('real_ADJ', 'life_NOUN')",5
41528,"('wedding_NOUN', 'ring_NOUN')",4
47884,"('dear_ADJ', 'mister_NOUN')",4
52005,"('turn_NOUN', 'blue_NOUN')",4
52004,"('girl_ADJ', 'turn_NOUN')",4
18786,"('s-_NOUN', 'group_NOUN')",4
6280,"('little_ADJ', 'thing_NOUN')",4
3632,"('happiest_ADJ', 'man_NOUN')",4
73181,"('olive_ADJ', 'tree_NOUN')",4
33362,"('Killing_NOUN', 'floor_NOUN')",4
41173,"('fifth_ADJ', 'fifth_ADJ')",4
2792,"('go_ADJ', 'let_NOUN')",4
70893,"('new_ADJ', 'life_NOUN')",4
70645,"('inlaid_ADJ', 'box_NOUN')",4
70667,"('old_ADJ', 'mrs_NOUN')",4
50087,"('“I_ADJ', 'guess_NOUN')",4
8689,"('much_ADJ', 'time_NOUN')",4
2605,"('poor_ADJ', 'boy_NOUN')",4
17152,"('first_ADJ', 'place_NOUN')",4
88,"('second_ADJ', 'place_NOUN')",4
49178,"('open_ADJ', 'door_NOUN')",4
25090,"('young_ADJ', 'woman_NOUN')",4
72472,"('Collegiate_NOUN', 'church_NOUN')",4
25177,"('lava_NOUN', 'lava_NOUN')",4
39986,"('ground_NOUN', 'floor_NOUN')",4
9356,"('good_ADJ', 'time_NOUN')",4
53744,"('second_ADJ', 'man_NOUN')",4
5581,"('last_ADJ', 'month_NOUN')",4
12755,"('far_ADJ', 'end_NOUN')",4
53462,"('world_NOUN', 'Cup_NOUN')",4
85151,"('old_ADJ', 'gentleman_NOUN')",4
1232,"('whole_ADJ', 'night_NOUN')",4
30997,"('low_ADJ', 'voice_NOUN')",4
12999,"('several_ADJ', 'time_NOUN')",4
78895,"('many_ADJ', 'thing_NOUN')",4
17730,"('self_ADJ', 'conscious_ADJ')",3
89151,"('dark_ADJ', 'spot_NOUN')",3
70744,"('high_ADJ', 'spirit_NOUN')",3
38114,"('early_ADJ', 'hour_NOUN')",3
70784,"('mrs_NOUN', 'Theobald_ADJ')",3
27658,"('great_ADJ', 'hall_NOUN')",3
87147,"('pine_NOUN', 'forest_NOUN')",3
27923,"('big_ADJ', 'bed_NOUN')",3
16779,"('good_ADJ', 'night_NOUN')",3
37205,"('“I_ADJ', 'wonder_NOUN')",3
20475,"('several_ADJ', 'day_NOUN')",3
23185,"('little_ADJ', 'longer_NOUN')",3
24034,"('strong_ADJ', 'capable_ADJ')",3
37335,"('double_ADJ', 'column_NOUN')",3
9133,"('sun_ADJ', 'come_NOUN')",3
71529,"('Gothic_ADJ', 'window_NOUN')",3
36434,"('first_ADJ', 'importance_NOUN')",3
29319,"('thy_ADJ', 'beauty_NOUN')",3
21029,"('real_ADJ', 'estate_NOUN')",3
34266,"('live_ADJ', 'thing_NOUN')",3
10257,"('mind_NOUN', 'control_NOUN')",3
80694,"('school_NOUN', 'girl_NOUN')",3
19581,"('botanic_ADJ', 'garden_NOUN')",3
34901,"('ancient_ADJ', 'radiation_NOUN')",3
15835,"('hatchet_ADJ', 'man_NOUN')",3
19214,"('territorial_ADJ', 'state_NOUN')",3
75368,"('mud_ADJ', 'wall_NOUN')",3
89873,"('great_ADJ', 'grandfather_NOUN')",3
87867,"('prayer_NOUN', 'flower_NOUN')",3
10664,"('moral_ADJ', 'obligation_NOUN')",3
33592,"('real_ADJ', 'thing_NOUN')",3
80301,"('picture_NOUN', 'post_NOUN')",3
75473,"('first_ADJ', 'floor_NOUN')",3
85034,"('mutilated_ADJ', 'volume_NOUN')",3
72392,"('small_ADJ', 'gratuity_NOUN')",3
27437,"('mother_ADJ', 'tatch_NOUN')",3
19840,"('doxy_NOUN', 'training_NOUN')",3
22470,"('executive_ADJ', 'session_NOUN')",3
13711,"('plastic_ADJ', 'surgery_NOUN')",3
30503,"('gym_NOUN', 'bag_NOUN')",3
35154,"('emory_ADJ', 'board_NOUN')",3
25765,"('many_ADJ', 'sort_NOUN')",3
34910,"('radio_ADJ', 'station_NOUN')",3
35709,"('grand_ADJ', 'person_NOUN')",3
9834,"('hot_ADJ', 'water_NOUN')",3
16351,"('good_ADJ', 'reason_NOUN')",3
80826,"('Abbott_NOUN', 'mrs_NOUN')",3
76348,"('open_ADJ', 'air_NOUN')",3
94863,"('Cat_NOUN', 'woman_NOUN')",3
65354,"('go_ADJ', 'post_NOUN')",3
45893,"('missing_ADJ', 'dumb-bell_NOUN')",3
4731,"('first_ADJ', 'wife_NOUN')",3
5264,"('“It_ADJ', 'thunder_NOUN')",3
65794,"('house_NOUN', 'elf_NOUN')",3
5114,"('red_ADJ', 'shoe_NOUN')",3
5102,"('beautiful_ADJ', 'song_NOUN')",3
5083,"('dear_ADJ', 'father_NOUN')",3
5146,"('gold_ADJ', 'watch_NOUN')",3
3927,"('good_ADJ', 'friend_NOUN')",3
63656,"('Ministry_ADJ', 'wizard_NOUN')",3
4542,"('old_ADJ', 'woman_NOUN')",3
46308,"('quarter_ADJ', 'past_NOUN')",3
4616,"('little_ADJ', 'fellow_NOUN')",3
42344,"('small_ADJ', 'point_NOUN')",3
6430,"('hidden_ADJ', 'object_NOUN')",3
42618,"('good_ADJ', 'look_NOUN')",3
67637,"('Irish_ADJ', 'supporter_NOUN')",3
42669,"('poor_ADJ', 'old_ADJ')",3
41566,"('wedding_ADJ', 'ring_NOUN')",3
41688,"('tweed_NOUN', 'suit_NOUN')",3
67928,"('hash_ADJ', 'bar_NOUN')",3
68053,"('big_ADJ', 'Mac_NOUN')",3
66761,"('speed_NOUN', 'dial_ADJ')",3
66878,"('Irish_ADJ', 'Chaser_NOUN')",3
43317,"('secret_ADJ', 'society_NOUN')",3
53450,"('Quidditch_ADJ', 'World_NOUN')",3
58221,"('electric_ADJ', 'fire_NOUN')",3
53852,"('faithful_ADJ', 'servant_NOUN')",3
53348,"('small_ADJ', 'man_NOUN')",3
1787,"('solid_ADJ', 'Earth_NOUN')",3
52281,"('super_ADJ', 'duper_NOUN')",3
1525,"('volcanic_ADJ', 'eruption_NOUN')",3
55895,"('pocket_NOUN', 'money_NOUN')",3
288,"('total_ADJ', 'audience_NOUN')",3
406,"('overall_ADJ', 'audience_NOUN')",3
385,"('third_ADJ', 'place_NOUN')",3
55718,"('school_NOUN', 'trunk_NOUN')",3
56253,"('grapefruit_NOUN', 'quarter_NOUN')",3
56131,"('school_NOUN', 'nurse_NOUN')",3
55512,"('adult_ADJ', 'wizard_NOUN')",3
54964,"('next_ADJ', 'room_NOUN')",3
57785,"('best_ADJ', 'suit_NOUN')",3
57212,"('room_NOUN', 'door_NOUN')",3
57414,"('Magical_ADJ', 'cooperation_NOUN')",3
57413,"('international_ADJ', 'Magical_ADJ')",3
52275,"('dollar_ADJ', 'trouper_NOUN')",3
62085,"('old_ADJ', 'boot_NOUN')",3
3611,"('red_ADJ', 'cow_NOUN')",3
3301,"('whole_ADJ', 'house_NOUN')",3
49788,"('next_ADJ', 'instant_NOUN')",3
2168,"('geologic_ADJ', 'time_NOUN')",3
52195,"('little_ADJ', 'lovin_NOUN')",3
50113,"('English_ADJ', 'law_NOUN')",3
50264,"('long_ADJ', 'line_NOUN')",3
61587,"('short_ADJ', 'way_NOUN')",3
2460,"('blue_NOUN', 'sea_NOUN')",3
61143,"('whole_ADJ', 'lot_NOUN')",3
7343,"('next_ADJ', 'time_NOUN')",3
40279,"('English_ADJ', 'lady_NOUN')",3
93332,"('bigger_ADJ', 'girl_NOUN')",3
70129,"('sin_ADJ', 'everything_NOUN')",3
68499,"('important_ADJ', 'thing_NOUN')",3
39883,"('Manor_ADJ', 'house_NOUN')",3
41055,"('open_ADJ', 'window_NOUN')",3
38882,"('station_NOUN', 'master_NOUN')",3
7840,"('Russian_ADJ', 'prime_ADJ')",3
68456,"('much_ADJ', 'fun_NOUN')",3
68472,"('new_ADJ', 'set-top_NOUN')",3
70211,"('steal_ADJ', 'steal_ADJ')",3
8008,"('prime_ADJ', 'minister_NOUN')",3
8001,"('tax_NOUN', 'authority_NOUN')",3
8384,"('case_NOUN', 'mister_NOUN')",3
40580,"('old_ADJ', 'building_NOUN')",3
40876,"('half_ADJ', 'past_NOUN')",3
51471,"('“Good_NOUN', 'lord_NOUN')",2
71330,"('rescue_NOUN', 'party_NOUN')",2
37423,"('common_ADJ', 'use_NOUN')",2
22349,"('bad_ADJ', 'idea_NOUN')",2
22676,"('deep_ADJ', 'breath_NOUN')",2
60691,"('World_NOUN', 'Cup_NOUN')",2
60695,"('Magical_ADJ', 'game_NOUN')",2
60708,"('good_ADJ', 'ticket_NOUN')",2
22541,"('husband_NOUN', 'home_NOUN')",2
60574,"('second_ADJ', 'floor_NOUN')",2
22887,"('racial_ADJ', 'prejudice_NOUN')",2
22606,"('family_NOUN', 'corporation_NOUN')",2
60585,"('cauldron_NOUN', 'bottom_NOUN')",2
52202,"('hurt_ADJ', 'inside_NOUN')",2
