,bigram,freq
21716,"('white_ADJ', 'people_NOUN')",2
70196,"('heart_NOUN', 'bleed_NOUN')",2
59718,"('order_NOUN', 'form_NOUN')",2
52260,"('different_ADJ', 'type_NOUN')",2
52280,"('Cooper_NOUN', 'super_ADJ')",2
52279,"('Gary_ADJ', 'Cooper_NOUN')",2
51739,"('elderly_ADJ', 'man_NOUN')",2
50639,"('young_ADJ', 'traveller_NOUN')",2
51676,"('open_ADJ', 'admiration_NOUN')",2
38951,"('little_ADJ', 'clearer_NOUN')",2
22244,"('post_NOUN', 'office_NOUN')",2
51631,"('beautiful_ADJ', 'picture_NOUN')",2
51975,"('quitter_ADJ', 'Tasty_NOUN')",2
51972,"('juvenile_ADJ', 'scam_NOUN')",2
59923,"('bedroom_NOUN', 'door_NOUN')",2
59924,"('door_NOUN', 'shut_NOUN')",2
51918,"('second_ADJ', 'day_NOUN')",2
51872,"('railway_NOUN', 'carriage_NOUN')",2
59978,"('old_ADJ', 'rat_NOUN')",2
71287,"('late_ADJ', 'husband_NOUN')",2
37356,"('“I_ADJ', 'fear_NOUN')",2
49336,"('last_ADJ', 'dollar_NOUN')",2
49313,"('’ve_ADJ', 'heard_NOUN')",2
49312,"('“I_ADJ', '’ve_ADJ')",2
24918,"('bad_ADJ', 'news_NOUN')",2
62186,"('Weasley_ADJ', 'boy_NOUN')",2
61896,"('large_ADJ', 'group_NOUN')",2
62057,"('tall_ADJ', 'figure_NOUN')",2
37221,"('pure_NOUN', 'reason_NOUN')",2
62523,"('big_ADJ', 'party_NOUN')",2
39506,"('pale_ADJ', 'cheek_NOUN')",2
81013,"('young_ADJ', 'person_NOUN')",2
71533,"('middle_ADJ', 'ages_NOUN')",2
48761,"('oil_ADJ', 'lamp_NOUN')",2
25471,"('high_ADJ', 'tea_NOUN')",2
62313,"('mister_NOUN', 'Diggory_NOUN')",2
25132,"('bare_NOUN', 'breast_NOUN')",2
39435,"('way_NOUN', 'mister_NOUN')",2
81150,"('horrible_ADJ', 'man_NOUN')",2
37166,"('cipher_NOUN', 'message_NOUN')",2
23482,"('silly_ADJ', 'thing_NOUN')",2
61271,"('large_ADJ', 'pot_NOUN')",2
61436,"('large_ADJ', 'amount_NOUN')",2
23631,"('family_NOUN', 'council_NOUN')",2
61448,"('Accidental_ADJ', 'magic_ADJ')",2
61134,"('time_NOUN', 'mrs_NOUN')",2
82610,"('supreme_ADJ', 'test_NOUN')",2
50435,"('opposite_ADJ', 'side_NOUN')",2
24180,"('ordinary_ADJ', 'human_ADJ')",2
24047,"('large_ADJ', 'household_NOUN')",2
61816,"('hundred_ADJ', 'thousand_NOUN')",2
24215,"('human_ADJ', 'form_NOUN')",2
23797,"('gentle_ADJ', 'way_NOUN')",2
18533,"('free_ADJ', 'fall_NOUN')",2
55215,"('fourth_ADJ', 'year_NOUN')",2
18305,"('good_ADJ', 'idea_NOUN')",2
55068,"('wizarding_ADJ', 'world_NOUN')",2
18502,"('much_ADJ', 'trouble_NOUN')",2
55091,"('lightning_ADJ', 'scar_NOUN')",2
55324,"('full_ADJ', 'length_NOUN')",2
55313,"('summer_NOUN', 'holiday_NOUN')",2
55251,"('scar_NOUN', 'hurt_NOUN')",2
55269,"('curse_ADJ', 'scar_NOUN')",2
86338,"('garret_NOUN', 'space_NOUN')",2
55261,"('Magical_ADJ', 'Ailment_NOUN')",2
55260,"('common_ADJ', 'Magical_ADJ')",2
54675,"('Harry_ADJ', 'knew_NOUN')",2
54641,"('darkened_ADJ', 'room_NOUN')",2
18852,"('territorial_ADJ', 'nation_NOUN')",2
54747,"('large_ADJ', 'wooden_ADJ')",2
18924,"('wild_ADJ', 'goose_NOUN')",2
37910,"('early_ADJ', 'day_NOUN')",2
18886,"('broad_ADJ', 'shoulder_NOUN')",2
54757,"('black_ADJ', 'robe_NOUN')",2
18645,"('full_ADJ', 'stop_NOUN')",2
70498,"('little_ADJ', 'daughter_NOUN')",2
54895,"('foot_NOUN', 'long_ADJ')",2
17296,"('personnel_ADJ', 'clerk_NOUN')",2
17310,"('laboratory_ADJ', 'identification_NOUN')",2
17229,"('top_ADJ', 'secret_NOUN')",2
56667,"('enough_ADJ', 'stamp_NOUN')",2
56798,"('furious_ADJ', 'battle_NOUN')",2
56306,"('large_ADJ', 'box_NOUN')",2
56367,"('birthday_NOUN', 'cake_NOUN')",2
17182,"('new_ADJ', 'friend_NOUN')",2
86592,"('great_ADJ', 'longing_NOUN')",2
55630,"('previous_ADJ', 'year_NOUN')",2
17930,"('human_ADJ', 'child_NOUN')",2
17854,"('small_ADJ', 'fortune_NOUN')",2
17892,"('laboratory_ADJ', 'crиche_NOUN')",2
17894,"('human_ADJ', 'people_NOUN')",2
17901,"('plastic_ADJ', 'spoon_NOUN')",2
55810,"('loose_ADJ', 'floorboard_NOUN')",2
17539,"('turn_ADJ', 'around_NOUN')",2
86823,"('grand_ADJ', 'time_NOUN')",2
17723,"('test_ADJ', 'tube_NOUN')",2
55695,"('school_NOUN', 'thing_NOUN')",2
86701,"('thunder_NOUN', 'clap_NOUN')",2
17672,"('picture_NOUN', 'postcard_NOUN')",2
56963,"('norm_ADJ', 'way_NOUN')",2
53161,"('old_ADJ', 'key_NOUN')",2
20544,"('Marjorie_ADJ', 'dear_NOUN')",2
20481,"('family_NOUN', 'life_NOUN')",2
58984,"('green_ADJ', 'flame_NOUN')",2
53107,"('water_NOUN', 'bottle_NOUN')",2
59126,"('lost_ADJ', 'control_NOUN')",2
70264,"('life_NOUN', 'sacrifice_NOUN')",2
53093,"('bad_ADJ', 'leg_NOUN')",2
84809,"('much_ADJ', 'nearer_NOUN')",2
84783,"('great_ADJ', 'room_NOUN')",2
53354,"('long_ADJ', 'black_NOUN')",2
84756,"('chief_NOUN', 'room_NOUN')",2
84753,"('greater_ADJ', 'part_NOUN')",2
20143,"('human_ADJ', 'appearance_NOUN')",2
20184,"('unusual_ADJ', 'reflex_NOUN')",2
20311,"('production_NOUN', 'laboratory_ADJ')",2
21074,"('knitting_ADJ', 'bag_NOUN')",2
52704,"('quiet_ADJ', 'life_NOUN')",2
52712,"('back_ADJ', 'door_NOUN')",2
21194,"('monthly_ADJ', 'payment_NOUN')",2
38871,"('wealthy_ADJ', 'man_NOUN')",2
20756,"('leaving_NOUN', 'home_NOUN')",2
53001,"('fine_ADJ', 'weather_NOUN')",2
19390,"('beautiful_ADJ', 'place_NOUN')",2
85448,"('mere_ADJ', 'child_NOUN')",2
19256,"('home_NOUN', 'office_NOUN')",2
37871,"('little_ADJ', 'bit_NOUN')",2
58233,"('Uncle_ADJ', 'Vernon_NOUN')",2
85359,"('old_ADJ', 'librarian_NOUN')",2
58381,"('coffee_NOUN', 'table_NOUN')",2
19427,"('new_ADJ', 'corporation_NOUN')",2
38591,"('head_NOUN', '“I_ADJ')",2
85740,"('living_ADJ', 'thing_NOUN')",2
54459,"('hearth_ADJ', 'rug_NOUN')",2
85570,"('black_ADJ', 'eagle_NOUN')",2
37882,"('better_ADJ', 'work_NOUN')",2
19882,"('first_ADJ', 'day_NOUN')",2
19839,"('basic_ADJ', 'doxy_NOUN')",2
58800,"('hour_NOUN', 'mister_NOUN')",2
20054,"('North_ADJ', 'island_NOUN')",2
84894,"('farther_ADJ', 'end_NOUN')",2
85000,"('masked_ADJ', 'door_NOUN')",2
58770,"('evil_ADJ', 'grin_NOUN')",2
38712,"('remarked_ADJ', 'Holme_NOUN')",2
80713,"('left_ADJ', 'home_NOUN')",2
72157,"('awful_ADJ', 'thing_NOUN')",2
32509,"('better_ADJ', 'money_NOUN')",2
32628,"('dying_ADJ', 'day_NOUN')",2
32274,"('ancient_ADJ', 'eye_NOUN')",2
75414,"('wooden_ADJ', 'door_NOUN')",2
43865,"('good_ADJ', 'deal_ADJ')",2
72125,"('little_ADJ', 'piece_NOUN')",2
66378,"('terrible_ADJ', 'thing_NOUN')",2
40808,"('close_ADJ', 'range_NOUN')",2
40827,"('country_NOUN', 'policeman_NOUN')",2
40958,"('first_ADJ', 'idea_NOUN')",2
43214,"('time_NOUN', 'sir_NOUN')",2
43270,"('house_NOUN', '“I_ADJ')",2
66860,"('slow_ADJ', 'motion_NOUN')",2
32906,"('low_ADJ', 'technology_NOUN')",2
43507,"('latest_ADJ', 'news_NOUN')",2
43495,"('questioning_ADJ', 'glance_NOUN')",2
74943,"('thank_NOUN', 'goodness_NOUN')",2
43414,"('blood_ADJ', 'mark_NOUN')",2
36210,"('good_ADJ', 'turn_NOUN')",2
40654,"('police_NOUN', 'sergeant_NOUN')",2
44586,"('anyth_NOUN', 'else_ADJ')",2
31279,"('leather_ADJ', 'jean_NOUN')",2
40683,"('whole_ADJ', 'household_NOUN')",2
76264,"('Continental_ADJ', 'society_NOUN')",2
36362,"('long_ADJ', 'suffer_NOUN')",2
30888,"('wet_NOUN', 'sand_NOUN')",2
40618,"('small_ADJ', 'local_ADJ')",2
40619,"('local_ADJ', 'police_NOUN')",2
40620,"('police_NOUN', 'station_NOUN')",2
44759,"('step_NOUN', 'mrs_NOUN')",2
76615,"('custom_NOUN', 'house_NOUN')",2
30820,"('index_ADJ', 'finger_NOUN')",2
44683,"('dining_ADJ', 'room_NOUN')",2
72046,"('long_ADJ', 'pause_NOUN')",2
65848,"('team_NOUN', 'mascot_NOUN')",2
31328,"('Hawaiian_ADJ', 'shirt_NOUN')",2
40740,"('door_NOUN', 'behind_NOUN')",2
36392,"('untasted_ADJ', 'breakfast_NOUN')",2
68794,"('new_ADJ', 'box_NOUN')",2
75823,"('thousand_NOUN', 'lire_NOUN')",2
44064,"('secret_NOUN', 'society_NOUN')",2
40779,"('hand_NOUN', 'lamp_NOUN')",2
66079,"('moment_NOUN', 'mister_NOUN')",2
76083,"('tea_NOUN', 'party_NOUN')",2
31534,"('joke_NOUN', 'shop_NOUN')",2
44391,"('strong_ADJ', 'hand_NOUN')",2
31392,"('left_ADJ', 'thumb_NOUN')",2
31441,"('gym_ADJ', 'bag_NOUN')",2
66153,"('mister_NOUN', 'Malfoy_NOUN')",2
76007,"('whole_ADJ', 'day_NOUN')",2
75992,"('English_ADJ', 'child_NOUN')",2
44321,"('best_ADJ', 'man_NOUN')",2
35083,"('chaise_NOUN', 'lounge_NOUN')",2
72466,"('agreeable_ADJ', 'manner_NOUN')",2
35909,"('swell_ADJ', 'kid_NOUN')",2
68096,"('intellectual_ADJ', 'property_NOUN')",2
34882,"('small_ADJ', 'piece_NOUN')",2
34886,"('practical_ADJ', 'thing_NOUN')",2
42103,"('queer_ADJ', 'card_NOUN')",2
68535,"('Trojan_ADJ', 'horse_NOUN')",2
34926,"('old_ADJ', 'skipping_NOUN')",2
34927,"('skipping_NOUN', 'record_NOUN')",2
73211,"('thing_NOUN', 'right_NOUN')",2
41159,"('nothing_NOUN', 'else_ADJ')",2
68368,"('soft_ADJ', 'breast_NOUN')",2
68356,"('tight_NOUN', 'Lie_NOUN')",2
68361,"('eyes_NOUN', 'girl_NOUN')",2
41281,"('window_ADJ', 'curtain_NOUN')",2
41313,"('theory_NOUN', 'mister_NOUN')",2
35390,"('dressing_NOUN', 'table_ADJ')",2
41543,"('little_ADJ', 'finger_NOUN')",2
68174,"('limited_ADJ', 'period_NOUN')",2
41430,"('right_ADJ', 'arm_NOUN')",2
35842,"('wonderful_ADJ', 'thing_NOUN')",2
68287,"('right_ADJ', 'place_NOUN')",2
74040,"('bladder_ADJ', 'whistle_NOUN')",2
33838,"('Lo_ADJ', 'Tek_NOUN')",2
42766,"('dressing_NOUN', 'gown_NOUN')",2
68596,"('HDMI_ADJ', 'output_NOUN')",2
74342,"('great_ADJ', 'country_NOUN')",2
40974,"('full_ADJ', 'extent_NOUN')",2
43050,"('card_NOUN', 'fifth_ADJ')",2
67056,"('green_ADJ', 'clad_NOUN')",2
67057,"('clad_NOUN', 'supporter_NOUN')",2
42927,"('private_ADJ', 'grudge_NOUN')",2
43008,"('line_NOUN', 'mister_NOUN')",2
68628,"('Tfifth_ADJ', 'experience_NOUN')",2
67641,"('great_ADJ', 'wave_NOUN')",2
42349,"('mister_NOUN', 'Holmes_NOUN')",2
68556,"('full_ADJ', 'internet_NOUN')",2
36074,"('’t_ADJ', 'care_NOUN')",2
42591,"('fat_ADJ', 'man_NOUN')",2
73847,"('sheer_ADJ', 'force_NOUN')",2
42399,"('time_NOUN', 'mister_NOUN')",2
42529,"('old_ADJ', 'age_NOUN')",2
42514,"('Manor_NOUN', 'house_NOUN')",2
79594,"('good_ADJ', 'many_ADJ')",2
27072,"('loud_ADJ', 'noise_NOUN')",2
47214,"('curved_ADJ', 'nose_NOUN')",2
47246,"('short_ADJ', 'yellow_NOUN')",2
39880,"('beech_ADJ', 'tree_NOUN')",2
63609,"('Bulgarian_ADJ', 'Seeker_NOUN')",2
63702,"('old_ADJ', 'archie_NOUN')",2
47505,"('Dr_NOUN', 'Watson_NOUN')",2
63651,"('old_ADJ', 'wizard_NOUN')",2
36929,"('second_ADJ', 'post_NOUN')",2
46868,"('half_ADJ', 'hour_NOUN')",2
79115,"('self_ADJ', 'satisfy_NOUN')",2
64121,"('blond_NOUN', 'hair_NOUN')",2
79168,"('blue_NOUN', 'sky_NOUN')",2
69382,"('big_ADJ', 'mouth_NOUN')",2
69409,"('prison_NOUN', 'officer_NOUN')",2
80523,"('poor_ADJ', 'baby_NOUN')",2
25892,"('minus_ADJ', 'thirty_NOUN')",2
26171,"('strong_ADJ', 'black_ADJ')",2
48264,"('excellent_ADJ', 'advice_NOUN')",2
62984,"('empty_NOUN', 'space_NOUN')",2
62722,"('misty_ADJ', 'field_NOUN')",2
62772,"('plus_ADJ', 'four_NOUN')",2
62854,"('Muggle_ADJ', 'security_NOUN')",2
80741,"('baby_ADJ', 'brother_NOUN')",2
25782,"('wide_ADJ', 'open_ADJ')",2
47717,"('present_ADJ', 'moment_NOUN')",2
26673,"('early_ADJ', 'evening_NOUN')",2
26682,"('time_NOUN', 'zone_NOUN')",2
26265,"('wonderful_ADJ', 'time_NOUN')",2
63175,"('poor_ADJ', 'fellow_NOUN')",2
48151,"('simple_ADJ', 'reason_NOUN')",2
39645,"('live_ADJ', 'man_NOUN')",2
47925,"('much_ADJ', 'older_ADJ')",2
26460,"('many_ADJ', 'day_NOUN')",2
63291,"('small_ADJ', 'child_NOUN')",2
26386,"('next_ADJ', 'week_NOUN')",2
37047,"('little_ADJ', 'time_NOUN')",2
