,word_list,defin,example
71,drive,have certain properties when driven,"['This car rides smoothly', 'My new truck drives well']"
72,drive,work as a driver,"['He drives a bread truck', 'She drives for the taxi company in Newark']"
73,drive,move by being propelled by a force,['The car drove around the corner']
74,drive,urge forward,['drive the cows into the barn']
75,drive,proceed along in a vehicle,['We drive the turnpike to work']
76,drive,"strike with a driver, as in teeing off",['drive a golf ball']
77,drive,"hit very hard, as by swinging a bat horizontally",['drive a ball']
78,drive,excavate horizontally,['drive a tunnel']
79,drive,cause to function by supplying the force or power for or by controlling,"['The amplifier drives the tube', 'steam drives the engines', 'this device drives the disks for the computer']"
80,drive,hunting: search for game,['drive the forest']
81,drive,hunting: chase from cover into more open ground,['drive the game']
82,look,the feelings expressed on a person's face,"['a sad expression', 'a look of triumph', 'an angry face']"
83,look,the act of directing the eyes toward something and perceiving it visually,"['he went out to have a look', 'his look was fixed on her eyes', 'he gave it a good looking at', 'his camera does his looking for him']"
84,look,physical appearance,"[""I don't like the looks of this place""]"
85,look,the general atmosphere of a place or situation and the effect that it has on people,"['the feel of the city excited him', 'a clergyman improved the tone of the meeting', 'it had the smell of treason']"
86,look,perceive with attention; direct one's gaze towards,"['She looked over the expanse of land', 'Look at your child!', 'Look--a deer in the backyard!']"
87,look,give a certain impression or have a certain outward aspect,"['She seems to be sleeping', 'This appears to be a very difficult problem', 'This project looks fishy', 'They appeared like people who had not eaten or slept for a long time']"
88,look,have a certain outward or facial expression,"['How does she look?', 'The child looks unhappy', 'She looked pale after the surgery']"
89,look,search or seek,"['We looked all day and finally found the child in the forest', 'Look elsewhere for the perfect gift!']"
90,look,"be oriented in a certain direction, often with respect to another reference point; be opposite to","['The house looks north', 'My backyard look onto the pond', 'The building faces the park']"
91,look,take charge of or deal with,"['Could you see about lunch?', 'I must attend to this matter', 'She took care of this business']"
92,look,convey by one's expression,['She looked her devotion to me']
93,look,look forward to the probable occurrence of,"['We were expecting a visit from our relatives', 'She is looking to a promotion', 'he is waiting to be drafted']"
94,look,accord in appearance with,"[""You don't look your age!""]"
95,look,have faith or confidence in,"['you can count on me to help you any time', 'Look to your friends for support', 'You can bet on that!', 'Depend on your family in times of crisis']"
96,feel,an intuitive awareness; ,"['he has a feel for animals"" or ""it\'s easy when you get the feel of it']"
97,feel,the general atmosphere of a place or situation and the effect that it has on people,"['the feel of the city excited him', 'a clergyman improved the tone of the meeting', 'it had the smell of treason']"
98,feel,a property perceived by touch,[]
99,feel,manual stimulation of the genital area for sexual pleasure,['the girls hated it when he tried to sneak a feel']
