,trigram,freq
72780,"('sixteen_ADJ', 'year_NOUN', 'old_ADJ')",1
72781,"('year_NOUN', 'old_ADJ', 'runaway_NOUN')",1
72870,"('usual_ADJ', 'big_NOUN', 'fat_ADJ')",1
69549,"('right_ADJ', 'Tonight_NOUN', 'change_NOUN')",1
72871,"('big_NOUN', 'fat_ADJ', 'lump_NOUN')",1
72877,"('usual_ADJ', 'stinging_NOUN', 'tear_NOUN')",1
69707,"('burning_ADJ', 'history_NOUN', 'Seasons_NOUN')",1
72394,"('dangerous_ADJ', 'bad_ADJ', 'luck_NOUN')",1
69713,"('gold_NOUN', 'wise_ADV', 'man_NOUN')",1
69431,"('hand_NOUN', 'sw_VERB', 'life_NOUN')",1
72401,"('tank_NOUN', 'resistant_ADJ', 'car_NOUN')",1
69578,"('brave_ADJ', 'Wise_NOUN', 'man_NOUN')",1
71347,"('black_NOUN', 'leather_CCONJ', 'seat_NOUN')",1
71325,"('ancient_ADJ', 'Chevy_PROPN', 'truck_NOUN')",1
71260,"('groan_ADJ', 'two_NUM', 'pedestrian_NOUN')",1
70578,"('big_ADJ', 'Mac_ADJ', 'fan_NOUN')",1
71286,"('little_ADJ', 'souvenir_ADJ', 'shop_NOUN')",1
71523,"('typical_ADJ', 'drizzly_NOUN', 'day_NOUN')",1
70431,"('work_NOUN', 'one_NUM', 'friend_NOUN')",1
71484,"('tank_NOUN', 'within_ADP', 'second_NOUN')",1
70457,"('bus_NOUN', 'another_DET', 'friend_NOUN')",1
70800,"('writable_ADJ', 'Dvd_PROPN', 'drive_NOUN')",1
71061,"('killer_NOUN', '-the_ADJ', 'monster_NOUN')",1
70846,"('whole_ADJ', 'different_ADJ', 'thing_NOUN')",1
70664,"('writable_ADJ', 'Dvd_ADJ', 'drive_NOUN')",1
70726,"('much_ADJ', 'RAM_PROPN', 'memory_NOUN')",1
69994,"('ending_NOUN', 'romantic_ADJ', 'comedy_NOUN')",1
69993,"('happy_ADJ', 'ending_NOUN', 'romantic_ADJ')",1
