,quadragram,PMI
105,"('in', 'ruin', 'one', '21')",27.148584083500396
106,"('through', 'all', 'thing', 'spirit')",27.069793401962183
107,"('x', '<', 'ab', 'square')",27.001007095389284
108,"('x', 'guess', 'sqrt', 'iter')",26.99052176073945
109,"('generation', 'it', ""'s"", 'cloudy')",26.958571829068884
110,"('fuck', 'up', 'generation', 'it')",26.883874461791283
111,"('this', 'live', '', 'ai')",26.85713865466417
112,"('less', 'than', 'or', 'equal')",26.847273528437757
113,"('gun', 'Throw', 'up', 'you')",26.748821606922423
114,"('when', 'rain', 'drop', 'come')",26.647735149009517
115,"('heave', ""'s"", 'gate', 'to')",26.538395606491065
116,"('to', 'heave', ""'s"", 'gate')",26.538395606491065
117,"('heaven', ""'s"", 'gate', 'and')",26.491089891712708
118,"('in', 'death', '', 'Will')",26.4399116740931
119,"('lett', 'the', 'reign', 'go')",26.421699984553232
120,"('move', 'through', 'all', 'thing')",26.403217135687374
121,"('more', 'than', 'anything', 'else')",26.385776437594103
122,"('world', 'science', 'have', 'fail')",26.317673427871295
123,"(""'s"", 'gate', 'to', 'heaven')",26.275361200657272
124,"('gate', 'to', 'heaven', ""'s"")",26.275361200657272
125,"('to', 'heaven', ""'s"", 'gate')",26.275361200657272
126,"('go', 'home', 'but', 'nobody')",26.251067157134003
128,"('home', 'but', 'nobody', ""'s"")",26.178166610086556
127,"('but', 'nobody', ""'s"", 'home')",26.178166610086556
129,"(""'s"", 'heading', 'straight', 'to')",26.175825527106355
130,"('x', '0', '001', 'define')",26.15403192261833
131,"('day', 'lost', 'my', 'mind')",26.114591228485974
132,"('where', 'I', 'become', 'untethered')",26.058417002784715
133,"('ab', 'square', 'guess', 'x')",26.042827271083915
134,"('and', 'woman', 'wait', 'watch')",26.014651847769724
135,"('woman', 'wait', 'watch', 'and')",26.014651847769724
136,"('the', 'great', 'white', 'Dope')",25.904197480684807
137,"('sqrt', 'x', 'fix', 'point')",25.89881270925246
138,"('lion', '’s', 'share', 'of')",25.86501085629254
139,"('nontrivial', 'square', 'root', 'of')",25.830059688490948
140,"('and', 'rewind', ""'"", 'cause')",25.80910293659669
141,"('a', 'nontrivial', 'square', 'root')",25.72284692965106
142,"('cry', 'tonight', '', 'do')",25.705432137444003
143,"('science', 'have', 'fail', 'us')",25.68762303762161
144,"('can', 'stop', 'It', ""'s"")",25.682988013551448
145,"('a', 'fuck', 'up', 'generation')",25.664058282283865
146,"('rewind', ""'"", 'cause', 'I')",25.621430530672225
147,"(""'"", 'll', 'find', 'maybe')",25.59902546517354
148,"('integer', 'less', 'than', 'n')",25.580314862399923
149,"('Will', 'not', 'you', 'die')",25.563439554006465
150,"('sever', 'I', 'endeavoure', 'to')",25.557518766852034
151,"('Throw', 'up', 'you', 'arm')",25.542370729454998
152,"('child', 'why', 'don', '’t')",25.53863989299902
153,"('<', '>', '<', '>')",25.51241433710798
154,"('man', 'and', 'woman', 'wait')",25.476231932985595
155,"('straight', 'to', 'heave', ""'s"")",25.438859932940154
